State,Year,Quarter,District,Count,Amount
punjab,2022,2,jalandhar district,874,1485593.0
punjab,2022,2,bathinda district,614,957624.0
punjab,2022,2,kapurthala district,207,391463.0
punjab,2022,2,firozepur district,208,363665.0
punjab,2022,2,gurdaspur district,238,551252.0
punjab,2022,2,amritsar district,686,1193605.0
punjab,2022,2,faridkot district,86,197701.0
punjab,2022,2,hoshiarpur district,404,786570.0
punjab,2022,2,moga district,135,251263.0
punjab,2022,4,shahid bhagat singh nagar district,108,233678.0
punjab,2022,4,fazilka district,257,549582.0
punjab,2022,4,barnala district,82,165675.0
punjab,2022,4,mansa district,132,322375.0
punjab,2022,4,ludhiana district,2140,3167544.0
punjab,2022,4,sri muktsar sahib district,133,321579.0
punjab,2022,4,patiala district,722,1513303.0
punjab,2022,4,pathankot district,506,899972.0
punjab,2022,4,fatehgarh sahib district,171,378710.0
punjab,2022,4,rupnagar district,309,650386.0
punjab,2022,4,tarn taran district,269,591132.0
punjab,2022,4,sas nagar district,2288,3709862.0
punjab,2022,4,sangrur district,470,697393.0
punjab,2022,4,jalandhar district,1000,1718210.0
punjab,2022,4,bathinda district,726,1370973.0
punjab,2022,4,kapurthala district,319,541723.0
punjab,2022,4,firozepur district,225,496806.0
punjab,2022,4,gurdaspur district,417,733846.0
punjab,2022,4,amritsar district,970,1692695.0
punjab,2022,4,faridkot district,153,301587.0
punjab,2022,4,hoshiarpur district,600,1234163.0
punjab,2022,4,moga district,190,436637.0
punjab,2022,3,shahid bhagat singh nagar district,99,179622.0
punjab,2022,3,fazilka district,261,469610.0
punjab,2022,3,barnala district,76,150570.0
punjab,2022,3,mansa district,121,310548.0
punjab,2022,3,ludhiana district,1961,2687099.0
punjab,2022,3,sri muktsar sahib district,119,226045.0
punjab,2022,3,patiala district,749,1294854.0
punjab,2022,3,pathankot district,692,1008235.0
punjab,2022,3,fatehgarh sahib district,213,433136.0
punjab,2022,3,rupnagar district,286,467245.0
punjab,2022,3,tarn taran district,275,544083.0
punjab,2022,3,sas nagar district,2303,3176155.0
punjab,2022,3,sangrur district,475,540188.0
punjab,2022,3,jalandhar district,1006,1468356.0
punjab,2022,3,bathinda district,797,1211130.0
punjab,2022,3,kapurthala district,350,458710.0
punjab,2022,3,firozepur district,253,446795.0
punjab,2022,3,gurdaspur district,457,858783.0
punjab,2022,3,amritsar district,1031,1765869.0
punjab,2022,3,faridkot district,141,294716.0
punjab,2022,3,hoshiarpur district,554,1013777.0
punjab,2022,3,moga district,151,376369.0
punjab,2023,1,shahid bhagat singh nagar district,113,270926.0
punjab,2023,1,fazilka district,279,735752.0
punjab,2023,1,barnala district,82,244168.0
punjab,2023,1,mansa district,131,393869.0
punjab,2023,1,ludhiana district,1837,3230691.0
punjab,2023,1,sri muktsar sahib district,117,392345.0
punjab,2023,1,patiala district,682,1650931.0
punjab,2023,1,pathankot district,514,1060019.0
punjab,2023,1,fatehgarh sahib district,133,331214.0
punjab,2023,1,rupnagar district,275,707224.0
punjab,2023,1,tarn taran district,203,666379.0
punjab,2023,1,sas nagar district,2146,4086044.0
punjab,2023,1,sangrur district,232,618425.0
punjab,2023,1,jalandhar district,931,1754296.0
